AIRAC	airblockID	geometry(WKT)
20230117	873LE	POLYGON ((1.09888888888889 39.0863888888889, 1.20555555555556 39.0802777777778, 1.31222222222222 39.0958333333333, 1.25777777777778 38.935, 1.09194444444444 38.9319444444444, 1.05388888888889 38.9611111111111, 1.09888888888889 39.0863888888889, 1.09888888888889 39.0863888888889))
20230117	098LE	POLYGON ((4.66666666666667 40.1802777777778, 4.66666666666667 40.0647222222222, 4.66666666666667 40.0311111111111, 4.66666666666667 39.9566666666667, 4.66666666666667 39.7166666666667, 4.65 39.7, 3.55 39.28, 3.62666666666667 39.8, 4.11166666666667 39.9472222222222, 4.66666666666667 40.1802777777778, 4.66666666666667 40.1802777777778))
20230117	089LE	POLYGON ((3.43666666666667 40.9872222222222, 3.81722222222222 40.6558333333333, 3.78333333333333 40.5, 3.56916666666667 40.5, 3.14083333333333 40.5, 3.02555555555556 40.5, 2.91444444444444 40.5, 2.91805555555556 40.6702777777778, 2.92888888888889 40.8677777777778, 2.9575 40.8747222222222, 3.18083333333333 40.9275, 3.43666666666667 40.9872222222222, 3.43666666666667 40.9872222222222))
20230117	810LE	POLYGON ((3.20583333333333 39.7758333333333, 3.1625 39.6680555555556, 3.02527777777778 39.6325, 2.97361111111111 39.6636111111111, 3.20583333333333 39.7758333333333, 3.20583333333333 39.7758333333333))
20230117	845LE	POLYGON ((2.49694444444444 39.4305555555556, 2.50277777777778 39.3625, 2.36388888888889 39.2805555555556, 2.28083333333333 39.3238888888889, 2.49694444444444 39.4305555555556, 2.49694444444444 39.4305555555556))
20230117	836LE	POLYGON ((1.19722222222222 38.8469444444444, 1.49916666666667 38.9719444444444, 1.54888888888889 38.8983333333333, 1.50083333333333 38.8783333333333, 1.48861111111111 38.8302777777778, 1.43611111111111 38.7852777777778, 1.36027777777778 38.7727777777778, 1.29527777777778 38.7933333333333, 1.24722222222222 38.7733333333333, 1.19722222222222 38.8469444444444, 1.19722222222222 38.8469444444444))
20230117	849LE	POLYGON ((2.88055555555556 39.4466666666667, 2.91083333333333 39.2561111111111, 2.61277777777778 39.1797222222222, 2.79638888888889 39.3888888888889, 2.88055555555556 39.4466666666667, 2.88055555555556 39.4466666666667))
20230117	137LE	POLYGON ((0.629722222222222 39.6452777777778, 1.40694444444444 39.705, 1.9675 39.7244444444444, 1.71583333333333 39.2213888888889, 1.38388888888889 39.2019444444444, 0.675 38.985, 0.483333333333333 38.9252777777778, 0.483333333333333 38.9419444444444, 0.483333333333333 39.0641666666667, 0.483333333333333 39.1361111111111, 0.483333333333333 39.1666666666667, 0.483333333333333 39.2088888888889, 0.483333333333333 39.25, 0.629722222222222 39.6452777777778, 0.629722222222222 39.6452777777778))
20230117	872LE	POLYGON ((2.28083333333333 39.3238888888889, 2.36388888888889 39.2805555555556, 2.49194444444444 39.2130555555556, 2.51861111111111 39.1988888888889, 2.57361111111111 39.1697222222222, 2.61277777777778 39.1797222222222, 2.91083333333333 39.2561111111111, 3.185 39.3255555555556, 3.29805555555556 39.1841666666667, 3.13138888888889 39.1177777777778, 2.89972222222222 39.0247222222222, 2.22805555555556 38.7511111111111, 2.18555555555556 38.7333333333333, 1.99638888888889 39.1966666666667, 1.95111111111111 39.3102777777778, 2.28083333333333 39.3238888888889, 2.28083333333333 39.3238888888889))
20230117	097LE	POLYGON ((4.65 39.7, 4.66666666666667 39.7166666666667, 4.66666666666667 39.5855555555556, 4.685 39, 3.94972222222222 38.4802777777778, 3.75 38.3333333333333, 3.55 38.2605555555556, 3.55 39.28, 4.65 39.7, 4.65 39.7))
20230117	401LE	POLYGON ((-1.33333333333333 38.8333333333333, -1.23805555555556 38.6769444444444, -1.35972222222222 38.7133333333333, -1.33333333333333 38.8333333333333, -1.33333333333333 38.8333333333333))
20230117	084LE	POLYGON ((3.71166666666667 40.1838888888889, 3.62666666666667 39.8, 3.55 39.28, 3.29805555555556 39.1841666666667, 3.13138888888889 39.1177777777778, 2.89972222222222 39.0247222222222, 2.22805555555556 38.7511111111111, 2.18555555555556 38.7333333333333, 1.88444444444444 38.6086111111111, 1.71583333333333 39.2213888888889, 1.9675 39.7244444444444, 2.26361111111111 40.0144444444444, 2.35833333333333 40.075, 2.52388888888889 40.1808333333333, 2.905 40.4222222222222, 3.71166666666667 40.1838888888889, 3.71166666666667 40.1838888888889))
20230117	876LE	POLYGON ((1.48888888888889 39.1966666666667, 1.43416666666667 39.2983333333333, 1.6575 39.305, 1.68972222222222 39.2483333333333, 1.71583333333333 39.2213888888889, 1.55 39.1708333333333, 1.48888888888889 39.1966666666667, 1.48888888888889 39.1966666666667))
20230117	088LE	POLYGON ((2.91444444444444 40.5, 3.02555555555556 40.5, 3.14083333333333 40.5, 3.56916666666667 40.5, 3.78333333333333 40.5, 3.71166666666667 40.1838888888889, 2.905 40.4222222222222, 2.91444444444444 40.5, 2.91444444444444 40.5))
20230117	832LE	POLYGON ((3.1625 39.6680555555556, 3.12861111111111 39.5833333333333, 2.89277777777778 39.5611111111111, 3.02527777777778 39.6325, 3.1625 39.6680555555556, 3.1625 39.6680555555556))
20230117	132LE	POLYGON ((0.158333333333333 40.7052777777778, 0.255555555555556 40.7047222222222, 0.537222222222222 40.7036111111111, 1.07583333333333 40.3733333333333, 0.842222222222222 40.2097222222222, 0.629722222222222 39.6452777777778, 0.483333333333333 39.25, 0.483333333333333 39.2088888888889, 0.483333333333333 39.1666666666667, 0.483333333333333 39.1361111111111, 0.483333333333333 39.0641666666667, 0.483333333333333 38.9419444444444, 0.483333333333333 38.9252777777778, -1.06611111111111 38.4275, -1.0975 38.4658333333333, -1.23805555555556 38.6769444444444, -1.35972222222222 38.7133333333333, -1.33333333333333 38.8333333333333, -1.29527777777778 39.0052777777778, -1.26305555555556 39.0244444444444, -1.25 39.15, -1.04055555555556 39.9116666666667, -1 40, -0.971388888888889 40.0880555555556, -0.925555555555556 40.2308333333333, -0.589444444444444 40.2319444444444, -0.413888888888889 40.2333333333333, -0.331111111111111 40.2308333333333, -0.0247222222222222 40.2316666666667, 0.158333333333333 40.7052777777778, 0.158333333333333 40.7052777777778))
