RTkey,longitude,latitude,x,y,altitude,speed_x_component,speed_y_component,course,speed,alt_speed,relative_bearing_to_exit_point,alt_diff_wrt_exit_point,h_diff_wrt_exit_point,timestamp,flight_phase
4803270,-1.2603699992308188,38.5056150002615,811548.4503824239,437153.9942560309,45000.0,227.42410117869824,105.92358268021317,65.02608315115106,250.88150024414062,0.0,8.05316237068456,7271.701654769975,179234.484375,1547541240,cruising
4803280,0.7210654387720579,39.450662783676705,978927.8163668001,548453.025557625,34000.0,218.40287102408254,-24.0956144221553,96.29577868252233,219.72804260253906,0.0,5.132980690794682,0.0,92932.796875,1547541240,cruising
4803286,-0.6706360823824826,38.41754022297615,863253.2102459281,428960.6572675804,38000.0,-38.747593412253394,-232.20550413232223,189.47352769919493,235.4161679761762,0.0,180.0182573234114,5825.765763561951,205303.625,1547541240,descending
4803302,-0.6011361169169505,40.966613088614345,859526.2656110959,711707.39518885,37000.0,-211.5469238499153,-46.051245565644216,257.7189901217008,216.50131225585938,0.0,33.00567382598146,4906.3105464584005,11464.5068359375,1547541240,cruising
4803309,-0.3973217858773804,40.939698896989654,876764.8295135944,709336.686894788,33000.0,-209.02302106823552,-62.69915189766125,253.30270586171002,218.22421264648438,0.0,-3.8384543999748644,1635.4368488194668,25955.458984375,1547541240,cruising
4803311,-0.3677306392644729,39.00840790380491,887229.0512807489,495384.8680864782,39000.0,-34.40318758338643,-233.56092712680535,188.37933062243562,236.0811004638672,0.0,184.2810580669943,6844.579577192115,136439.0625,1547541240,descending
4803319,-0.4503680662236758,40.987049828087656,872114.4772186303,714422.7746784805,35000.0,-226.86650149265097,-49.29480951662928,257.7410129761566,232.16026306152344,0.0,15.481846459553537,2906.3105464584005,23336.416015625,1547541240,cruising
4803322,-0.2723725627301584,39.19925716023662,894663.6324733266,516845.79639620695,37000.0,-30.70109404881587,-233.24279667257633,187.49857471407967,235.25466918945312,0.0,186.34093288775264,4844.579577192115,114652.65625,1547541240,descending
4803335,-0.03925727174093071,41.31948555104433,905140.3777344978,752609.2613358214,36000.0,227.24029485332213,42.11098650819629,79.5013438059467,231.1092529296875,0.0,-4.604392180232651,0.0,45022.2890625,1547541240,cruising
4803344,-0.3963229980069758,41.35258899998786,875157.5632039958,755117.2885799379,35600.0,228.77099624967946,6.625335362364393,88.34114600447276,228.86691284179688,16.666666666666668,-0.038171050250184635,400.0,74797.0,1547541240,cruising
4803354,1.1660593298813167,39.577638237909014,1016369.9108393905,564500.3504233357,39000.0,-220.90201888551462,-46.33709196791753,258.1532216424437,225.70960998535156,0.0,-15.13398429886007,5509.312466923919,193909.625,1547541240,cruising
4803374,-0.0739015885829067,39.78380547451019,909149.167030114,582292.1391813015,33000.0,-162.2204224404672,-165.018716248058,224.51006313651828,231.40147399902344,0.0,-4.152989191791363,6000.0,136023.390625,1547541240,cruising
4803375,-0.03151210339676617,40.271953212736946,910553.090701793,636531.3386155452,41000.0,-31.04114424781428,-225.77328202824825,187.82840850406362,227.89718627929688,0.0,-61.74009992596112,8844.579577192115,14484.30078125,1547541240,descending
4803393,0.35953299999999966,40.223655999999835,943987.3339664524,632615.5497336544,33300.0,-164.5119593358521,-169.28491839237978,224.18078390712705,236.05416870117188,23.333333333333332,-0.15865728978900506,3700.0,195976.84375,1547541240,climbing
4803397,0.13602053899885952,40.72505059771649,922618.3712034347,687337.8582134733,37000.0,-26.436799770421672,-233.09018610803446,186.4707645434493,234.58460998535156,0.0,-18.18211464045342,4844.579577192115,61465.26953125,1547541240,cruising
4803429,0.19687671798800602,41.24376730427225,925242.2476707186,745050.4538351212,37000.0,-32.57808835978733,-234.39652063645863,187.91268218875555,236.649658203125,0.0,-6.061063117466745,4844.579577192115,117038.9921875,1547541240,cruising
4803446,0.33766951674554363,41.82776756243379,934095.8685385032,810315.192044072,39000.0,-33.72254571420799,-236.73398368897648,188.10719015934566,239.12379455566406,0.0,-3.6173417284514073,6844.579577192115,182650.984375,1547541240,cruising
